paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,B cells,pre-pro-B,human,false,IL7R,author_declared,,positive,,formal_candidate,Results p.6,observed the acquisition of B cell markers such as IL7R at the pre-pro-B cell stage,pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,DC2 cells,,human,false,CD1C,author_declared,,positive,,formal_candidate,Results p.11,utilizing CD1C as a marker for DC2 cells,pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,ILCPs,,human,false,HPN,author_declared,,positive,,formal_candidate,Results p.8,A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B (28); Fig S6E),pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,ILCPs,,human,false,SCN1B,author_declared,,positive,,formal_candidate,Results p.8,A cluster of ILCPs was identified by expression of marker genes (HPN and SCN1B (28); Fig S6E),pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,basal cells,,human,false,KRT5,author_declared,,positive,,formal_candidate,Results p.10,TP63 and a non-significant increase in KRT5 (both markers of basal cells),pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,basal cells,,human,false,TP63,author_declared,,positive,,formal_candidate,Results p.10,TP63 and a non-significant increase in KRT5 (both markers of basal cells),pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,ciliated cells,,human,false,FOXJ1,author_declared,,positive,,formal_candidate,Results p.10,or the ciliated cell marker FOXJ1,pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,classical monocytes,,human,false,CD14,author_declared,,positive,,formal_candidate,Results p.8-9,"CD14, a marker gene of classical monocytes and macrophages (34), increased",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,distal epithelial tip progenitors,,human,false,SOX2,author_declared,,positive,,formal_candidate,Results p.10,we utilized SOX2 and SOX9 as markers to investigate the effects of our cytokine panel,pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,interstitial macrophages,,human,false,CD14,author_declared,,positive,,formal_candidate,Results p.9,fetal MΦ populations expressed markers (CD14+ CD36+ MRC1+) characteristic of postnatal and adult interstitial macrophages,pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,interstitial macrophages,,human,false,CD36,author_declared,,positive,,formal_candidate,Results p.9,fetal MΦ populations expressed markers (CD14+ CD36+ MRC1+) characteristic of postnatal and adult interstitial macrophages,pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,interstitial macrophages,,human,false,MRC1,author_declared,,positive,,formal_candidate,Results p.9,fetal MΦ populations expressed markers (CD14+ CD36+ MRC1+) characteristic of postnatal and adult interstitial macrophages,pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,macrophages,,human,false,CD14,author_declared,,positive,,formal_candidate,Results p.8-9,"CD14, a marker gene of classical monocytes and macrophages (34), increased",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,macrophages,,human,false,CD206,author_declared,,positive,,formal_candidate,Results p.11,"CD206, the macrophage mannose receptor, as a marker for macrophages",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,macrophages,,human,false,CD68,author_declared,,positive,,formal_candidate,Results p.9,"Most myeloid cells, defined by their expression of CD68, were tissue-resident",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,myeloid cells,,human,false,CD68,author_declared,,positive,,formal_candidate,Results p.9,"Most myeloid cells, defined by their expression of CD68, were tissue-resident",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,secretory cells,,human,false,MUC5AC,author_declared,,positive,,formal_candidate,Results p.10,"no effect on the expression of secretory cell markers such as SCGB3A1, SCGB3A2, MUC5AC",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,secretory cells,,human,false,SCGB3A1,author_declared,,positive,,formal_candidate,Results p.10,"no effect on the expression of secretory cell markers such as SCGB3A1, SCGB3A2, MUC5AC",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,secretory cells,,human,false,SCGB3A2,author_declared,,positive,,formal_candidate,Results p.10,"no effect on the expression of secretory cell markers such as SCGB3A1, SCGB3A2, MUC5AC",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,B cells,late pre-B,human,false,IGLL1,annotation_marker,,positive,,formal_candidate,Results p.6,"MS4A1+ late pre-B cells that expressed the marker for surrogate light chain, IGLL1",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,B cells,late pre-B,human,false,MS4A1,annotation_marker,,positive,,formal_candidate,Results p.6,"MS4A1+ late pre-B cells that expressed the marker for surrogate light chain, IGLL1",pending,,,
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,B cells,small pre-B,human,false,BEST3,cluster_enriched,annotation_marker,positive,,context_only,Results p.6-7,RNAscope showed ... RAG1+BEST3+ small pre-B cells,excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,B cells,CD5+ mature B,human,false,CD5,cluster_enriched,annotation_marker,positive,,context_only,Results p.6,CD5- versus CD5+ mature B cells,excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,B cells,CD5- mature B,human,false,CD5,cluster_enriched,annotation_marker,unknown,negative,context_only,Results p.6,CD5- versus CD5+ mature B cells,excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文; 缺少阴性/缺失表达措辞，极性降为 unknown,缺少作者 marker/注释措辞，降级为表达或富集上下文; 缺少阴性/缺失表达措辞，极性降为 unknown,缺少作者 marker/注释措辞，降级为表达或富集上下文; 缺少阴性/缺失表达措辞，极性降为 unknown
DOI_10.1126_sciimmunol.adf9988,DOI_10.1126_sciimmunol.adf9988,primary,B cells,pro-B,human,false,DNTT,cluster_enriched,annotation_marker,positive,,context_only,Results p.6,pro-B (DNTT+),excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
