paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,H3,putative peptidergic/Aδ nociceptor,human,true,NEFH,author_declared,,positive,,formal_candidate,Results p.4; Figure 1C,this gene showed graded expression in our data and marks several classes of cells just as in mice; some of these (including H3 and H6) also express peptidergic markers and SCN10A,pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,H6,putative peptidergic/Aδ nociceptor,human,true,NEFH,author_declared,,positive,,formal_candidate,Results p.4; Figure 1C,this gene showed graded expression in our data and marks several classes of cells just as in mice; some of these (including H3 and H6) also express peptidergic markers and SCN10A,pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,NP1,,mouse,true,Mrgprd,author_declared,,positive,,formal_candidate,Discussion; Figure 5—figure supplement 2,in mice NP1 cells express a large combination of diagnostic markers (Figure 5—figure supplement 2) including Mrgprd that we did not find in our sequencing of human ganglion neurons.,pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,NP2,,mouse,true,Mrgpra3,author_declared,,positive,,formal_candidate,Discussion; same paragraph as NP1 marker description,"in mice, Mrgpra3 (the functional equivalent of MRGPRX1) marks the distinct NP2 neurons.",pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,non-neuronal cells,,human,NA,APOE,author_declared,,positive,,formal_candidate,"Methods: Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed to allow reclustering of 'purified' human DRG neurons.",pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,non-neuronal cells,,human,NA,LPAR1,author_declared,,positive,,formal_candidate,"Methods: Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed to allow reclustering of 'purified' human DRG neurons.",pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,non-neuronal cells,,human,NA,MBP,author_declared,,positive,,formal_candidate,"Methods: Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed to allow reclustering of 'purified' human DRG neurons.",pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,non-neuronal cells,,human,NA,PRP1,author_declared,,positive,,formal_candidate,"Methods: Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed to allow reclustering of 'purified' human DRG neurons.",pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,non-neuronal cells,,human,NA,QKI,author_declared,,positive,,formal_candidate,"Methods: Single nuclear capture, sequencing, and data analysis","Clusters not expressing high levels of neuronal or somatosensory genes like SNAP25, SCN9A, SCN10A, PIEZO2, NEFH, etc. but instead expressing elevated levels of markers of non-neuronal cells including PRP1, MBP, QKI, LPAR1, and APOE were tagged as non-neuronal and were removed to allow reclustering of 'purified' human DRG neurons.",pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,DRG neuron,NEFH-only,unknown,true,NEFH,annotation_marker,,positive,,formal_candidate,Methods: Spatial analysis of cell clusters,"neurons in ISH images (for humans, one male, one female and for mice several sections from different DRGs and animals) were manually outlined and annotated as NEFH-only or SCN10A-only; cells expressing both genes were not counted.",pending,,,
DOI_10.7554_elife.71752,DOI_10.7554_elife.71752,primary,DRG neuron,SCN10A-only,unknown,true,SCN10A,annotation_marker,,positive,,formal_candidate,Methods: Spatial analysis of cell clusters,"neurons in ISH images (for humans, one male, one female and for mice several sections from different DRGs and animals) were manually outlined and annotated as NEFH-only or SCN10A-only; cells expressing both genes were not counted.",pending,,,
