paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
PMID_35115729,PMID_35115729,primary,endoneurial fibroblasts (EFs),,mouse,false,Pdgfra,author_declared,,positive,,formal_candidate,"Results p.4, Fig. 2c",EFs express the fibroblast marker Pdgfra as well as the stem cell markers Cd34 and nmSC marker Ngfr,pending,,,
PMID_35115729,PMID_35115729,primary,immune cells,,mouse,false,Cd45,author_declared,,positive,,formal_candidate,"Results p.3, Extended Fig. 1g",we used the global immune marker Cd45 to FACS purify immune cells from sciatic nerves,pending,,,
PMID_35115729,PMID_35115729,primary,myelinating Schwann cell (mSC),cluster 3 (SC-enriched Cldn14/Adamtsl1/Pmp2),mouse,true,Adamtsl1,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4a","cluster 3, which is defined by co-expression of the integral membrane protein Cldn14, the secreted protein Adamtsl1, and the myelin protein Pmp2",pending,,,
PMID_35115729,PMID_35115729,primary,myelinating Schwann cell (mSC),cluster 3 (SC-enriched Cldn14/Adamtsl1/Pmp2),mouse,true,Cldn14,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4a","cluster 3, which is defined by co-expression of the integral membrane protein Cldn14, the secreted protein Adamtsl1, and the myelin protein Pmp2",pending,,,
PMID_35115729,PMID_35115729,primary,myelinating Schwann cell (mSC),cluster 3 (SC-enriched Cldn14/Adamtsl1/Pmp2),mouse,true,Pmp2,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4a","cluster 3, which is defined by co-expression of the integral membrane protein Cldn14, the secreted protein Adamtsl1, and the myelin protein Pmp2",pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Csmd1,author_declared,,positive,,formal_candidate,"Results p.2, Fig. 1e-f","nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Dbi,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4c","nmSC markers identified by peripheral nerve snRNAseq, including Scn7a, Prnp, Dbi, and Marcks",pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Marcks,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4c","nmSC markers identified by peripheral nerve snRNAseq, including Scn7a, Prnp, Dbi, and Marcks",pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),cluster 5,mouse,true,Marcks,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4a",cluster 5 expressing additional unique markers including Marcks and Prnp,pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Ncam1,author_declared,,positive,,formal_candidate,"Results p.2, Fig. 1e-f","nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Ngfr,author_declared,,positive,,formal_candidate,"Results p.4, Fig. 2c",EFs express the fibroblast marker Pdgfra as well as the stem cell markers Cd34 and nmSC marker Ngfr,pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Prnp,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4c","nmSC markers identified by peripheral nerve snRNAseq, including Scn7a, Prnp, Dbi, and Marcks",pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),cluster 5,mouse,true,Prnp,author_declared,,positive,,formal_candidate,"Results p.5, Fig. 4a",cluster 5 expressing additional unique markers including Marcks and Prnp,pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Scn7a,author_declared,,positive,,formal_candidate,"Results p.2, Fig. 1e-f","nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",pending,,,
PMID_35115729,PMID_35115729,primary,non-myelinating Schwann cell (nmSC),,mouse,true,Slc35f1,author_declared,,positive,,formal_candidate,"Results p.2, Fig. 1e-f","nmSCs, marked by canonical markers such as Ncam1 and Slc35f1, as well as additional markers Scn7a and Csmd1",pending,,,
PMID_35115729,PMID_35115729,primary,perineurial fibroblasts,,mouse,false,Itgb4,author_declared,,positive,,formal_candidate,"Results p.4, Fig. 1e-f",Perineurial fibroblasts (Cluster 10) ... were notable for their lack of Pdgfra expression and their expression of markers Itgb4 and Slc2a1,pending,,,
PMID_35115729,PMID_35115729,primary,perineurial fibroblasts,,mouse,false,Slc2a1,author_declared,,positive,,formal_candidate,"Results p.4, Fig. 1e-f",Perineurial fibroblasts (Cluster 10) ... were notable for their lack of Pdgfra expression and their expression of markers Itgb4 and Slc2a1,pending,,,
PMID_35115729,PMID_35115729,primary,Schwann cell,myelinating-SC,mouse,true,Adamtsl1,annotation_marker,,positive,,formal_candidate,Abstract,"We identified a distinct myelinating-SC subtype that expresses Cldn14, Adamtsl1, and Pmp2",pending,,,
PMID_35115729,PMID_35115729,primary,Schwann cell,myelinating-SC,mouse,true,Cldn14,annotation_marker,,positive,,formal_candidate,Abstract,"We identified a distinct myelinating-SC subtype that expresses Cldn14, Adamtsl1, and Pmp2",pending,,,
PMID_35115729,PMID_35115729,primary,Schwann cell,myelinating-SC,mouse,true,Pmp2,annotation_marker,,positive,,formal_candidate,Abstract,"We identified a distinct myelinating-SC subtype that expresses Cldn14, Adamtsl1, and Pmp2; The number of these motor-associated, Pmp2+ SCs is reduced...",pending,,,
PMID_35115729,PMID_35115729,primary,lymphatic endothelial cells,,mouse,false,Lyve1,annotation_marker,,positive,,formal_candidate,"Results p.3, Fig. 1e-f",lymphatic endothelial cells (Cluster 14; 331 nuclei) identified by Prox1 and Lyve1,pending,,,
PMID_35115729,PMID_35115729,primary,lymphatic endothelial cells,,mouse,false,Prox1,annotation_marker,,positive,,formal_candidate,"Results p.3, Fig. 1e-f",lymphatic endothelial cells (Cluster 14; 331 nuclei) identified by Prox1 and Lyve1,pending,,,
