task_no,paper_id,cell_type,subtype,species,gene_symbol,original_symbol,evidence_type,marker_polarity,source_locator,source_context,confidence,notes,md_file
39,DOI_10.1038_s41586-020-2922-4,neuroendocrine cell,,human,CLDN5,CLDN5,annotation_marker,positive,Line 711,"ment (for example, basal, goblet club, neuroendocrine and ionocyte) and summed to create a proliferation score for each cell in the 10x",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1038_s41586-020-2922-4.md
39,DOI_10.1038_s41586-020-2922-4,neuroendocrine cell,,human,COL1A2,COL1A2,annotation_marker,positive,Line 711,"ment (for example, basal, goblet club, neuroendocrine and ionocyte) and summed to create a proliferation score for each cell in the 10x",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1038_s41586-020-2922-4.md
44,DOI_10.1016_j.cell.2022.11.005,neuroendocrine cell,,human,GHRL,GHRL,annotation_marker,positive,Line 209,"(EandF)InsituHCRat11(F)and12(E)pcw.(E)SOX9(tipepithelium,white),CYTL1(red),SCGB3A2(green).(F)GHRL+(GHRL+neuroendocrine,red),GRP+",high,Gene+ PNS cell annotation,DOI_10.1016_j.cell.2022.11.005.md
44,DOI_10.1016_j.cell.2022.11.005,neuroendocrine cell,,human,ASCL1,ASCL1,annotation_marker,positive,Line 1566,(K)ASCL1+pulmonaryneuroendocrine(arrow)andMUC5AC+/ASCL1+progenitors(arrowhead)inthenon-cartilaginousairwayregionsoffetallungat12pcw.,high,Gene+ PNS cell annotation,DOI_10.1016_j.cell.2022.11.005.md
44,DOI_10.1016_j.cell.2022.11.005,neuroendocrine cell,,human,SOX9,SOX9,annotation_marker,positive,Line 209,"(EandF)InsituHCRat11(F)and12(E)pcw.(E)SOX9(tipepithelium,white),CYTL1(red),SCGB3A2(green).(F)GHRL+(GHRL+neuroendocrine,red),GRP+",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1016_j.cell.2022.11.005.md
44,DOI_10.1016_j.cell.2022.11.005,neuroendocrine cell,,human,NEUROD1,NEUROD1,annotation_marker,positive,Line 533,Figure7. ASCL1andNEUROD1regulatetheformationoftwosubtypesofneuroendocrinecells,medium,"PNS cell type found, gene in ±3 line window",DOI_10.1016_j.cell.2022.11.005.md
44,DOI_10.1016_j.cell.2022.11.005,neuroendocrine cell,,human,NEUROG3,NEUROG3,annotation_marker,positive,Line 533,Figure7. ASCL1andNEUROD1regulatetheformationoftwosubtypesofneuroendocrinecells,medium,"PNS cell type found, gene in ±3 line window",DOI_10.1016_j.cell.2022.11.005.md
47,DOI_10.1038_s44318-024-00328-6,neuroendocrine cell,,human,ASCL1,ASCL1,annotation_marker,positive,Line 1530,"ASCL1(H),neuroendocrinecellsNEUROD1,GRP(I),FOXJ1(J),TP63(K).(L,M)UMAPsshowingfdAT2organoidscRNA-seqdataintegratedwithpublishedadult(L)or",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1038_s44318-024-00328-6.md
47,DOI_10.1038_s44318-024-00328-6,neuroendocrine cell,,human,SOX2,SOX2,annotation_marker,positive,Line 1530,"ASCL1(H),neuroendocrinecellsNEUROD1,GRP(I),FOXJ1(J),TP63(K).(L,M)UMAPsshowingfdAT2organoidscRNA-seqdataintegratedwithpublishedadult(L)or",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1038_s44318-024-00328-6.md
47,DOI_10.1038_s44318-024-00328-6,neuroendocrine cell,,human,SOX9,SOX9,annotation_marker,positive,Line 1530,"ASCL1(H),neuroendocrinecellsNEUROD1,GRP(I),FOXJ1(J),TP63(K).(L,M)UMAPsshowingfdAT2organoidscRNA-seqdataintegratedwithpublishedadult(L)or",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1038_s44318-024-00328-6.md
53,DOI_10.1016_j.stem.2022.11.013,neuroendocrine cell,,human,SOX9,SOX9,annotation_marker,positive,Line 243,"neuroendocrine(NE)precursors,basal-likecells,andtransitional ureS4D).ThesedataindicatethatWntandFGFsignalingpro-",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1016_j.stem.2022.11.013.md
56,DOI_10.64898_2025.12.18.695268,Schwann cell,,human,NRXN1,NRXN1,annotation_marker,positive,Line 301,surrounding innervating structures (fig. S3E) featured Schwann cells (NRXN1+) and a localized,high,PNS cell type with parenthetical gene list,DOI_10.64898_2025.12.18.695268.md
56,DOI_10.64898_2025.12.18.695268,Schwann cell,,human,ACTA2,ACTA2,annotation_marker,positive,Line 178,(MMRN1+/TFF3+) types. Additional stromal populations included Schwann cells,medium,"PNS cell type found, gene in ±3 line window",DOI_10.64898_2025.12.18.695268.md
56,DOI_10.64898_2025.12.18.695268,Schwann cell,,human,CSPG4,CSPG4,annotation_marker,positive,Line 178,(MMRN1+/TFF3+) types. Additional stromal populations included Schwann cells,medium,"PNS cell type found, gene in ±3 line window",DOI_10.64898_2025.12.18.695268.md
56,DOI_10.64898_2025.12.18.695268,Schwann cell,,human,RGS5,RGS5,annotation_marker,positive,Line 178,(MMRN1+/TFF3+) types. Additional stromal populations included Schwann cells,medium,"PNS cell type found, gene in ±3 line window",DOI_10.64898_2025.12.18.695268.md
56,DOI_10.64898_2025.12.18.695268,Schwann cell,,human,XKR4,XKR4,annotation_marker,positive,Line 178,(MMRN1+/TFF3+) types. Additional stromal populations included Schwann cells,medium,"PNS cell type found, gene in ±3 line window",DOI_10.64898_2025.12.18.695268.md
59,DOI_10.1002_pros.24020,neuroendocrine cell,,human,CHGA,CHGA,annotation_marker,positive,Line 229,"Similartoourprevioushumanprostatestudy,4neuroendocrine",medium,"PNS cell type found, gene in ±3 line window",DOI_10.1002_pros.24020.md
66,DOI_10.1038_s41591-024-03215-z,sensory neuron,,human,FGFR2,FGFR2,supplementary_marker,positive,Line 1127,|     |     |     |          |     |     |     |          | )eulav P detsujda( |       |               |     |         | NDRG2 FGFR2   |       |,medium,Table row with PNS cell type and known gene,DOI_10.1038_s41591-024-03215-z.md
66,DOI_10.1038_s41591-024-03215-z,sensory neuron,,human,NDRG2,NDRG2,supplementary_marker,positive,Line 1127,|     |     |     |          |     |     |     |          | )eulav P detsujda( |       |               |     |         | NDRG2 FGFR2   |       |,medium,Table row with PNS cell type and known gene,DOI_10.1038_s41591-024-03215-z.md
71,DOI_10.1126_science.abl4290,sensory neuron,,human,Piezo2,Piezo2,annotation_marker,positive,Line 2219,"so far has been mainly attributed to Piezo2+ sensory neurons in mice (111), suggesting",high,Gene+ PNS cell annotation,DOI_10.1126_science.abl4290.md
